
date,temperature
2024-03-30T08:28:00+07:00,26.5
2024-03-30T09:28:00+07:00,27.0
2024-03-30T10:28:00+07:00,28.0
2024-03-30T11:28:00+07:00,29.5
2024-03-30T12:28:00+07:00,31.0
2024-03-30T13:28:00+07:00,32.5
2024-03-30T14:28:00+07:00,33.5
2024-03-30T15:28:00+07:00,33.0
2024-03-30T16:28:00+07:00,32.0
2024-03-30T17:28:00+07:00,30.5
2024-03-30T18:28:00+07:00,29.0
2024-03-30T19:28:00+07:00,28.0
2024-03-30T20:28:00+07:00,27.5
2024-03-30T21:28:00+07:00,27.0
2024-03-30T22:28:00+07:00,26.8
2024-03-30T23:28:00+07:00,26.5
2024-03-31T00:28:00+07:00,26.2
2024-03-31T01:28:00+07:00,26.0
2024-03-31T02:28:00+07:00,25.8
2024-03-31T03:28:00+07:00,25.5
2024-03-31T04:28:00+07:00,25.2
2024-03-31T05:28:00+07:00,25.0
2024-03-31T06:28:00+07:00,25.5
2024-03-31T07:28:00+07:00,26.0
2024-03-31T08:28:00+07:00,27.0
2024-03-31T09:28:00+07:00,28.0
2024-03-31T10:28:00+07:00,29.5
2024-03-31T11:28:00+07:00,31.0
2024-03-31T12:28:00+07:00,32.5
2024-03-31T13:28:00+07:00,33.5
2024-03-31T14:28:00+07:00,34.0
2024-03-31T15:28:00+07:00,33.5
2024-03-31T16:28:00+07:00,32.0
2024-03-31T17:28:00+07:00,30.5
2024-03-31T18:28:00+07:00,29.0
2024-03-31T19:28:00+07:00,28.0
2024-03-31T20:28:00+07:00,27.5
2024-03-31T21:28:00+07:00,27.0
2024-03-31T22:28:00+07:00,26.8
2024-03-31T23:28:00+07:00,26.5
2024-04-01T00:28:00+07:00,26.2
2024-04-01T01:28:00+07:00,26.0
2024-04-01T02:28:00+07:00,25.8
2024-04-01T03:28:00+07:00,25.5
2024-04-01T04:28:00+07:00,25.2
2024-04-01T05:28:00+07:00,25.0
2024-04-01T06:28:00+07:00,25.5
2024-04-01T07:28:00+07:00,26.0
2024-04-01T08:28:00+07:00,27.0
2024-04-01T09:28:00+07:00,28.0
2024-04-01T10:28:00+07:00,29.5
2024-04-01T11:28:00+07:00,31.0
2024-04-01T12:28:00+07:00,32.5
2024-04-01T13:28:00+07:00,33.5
2024-04-01T14:28:00+07:00,34.0
2024-04-01T15:28:00+07:00,33.5
2024-04-01T16:28:00+07:00,32.0
2024-04-01T17:28:00+07:00,30.5
